Poste_Origem,Poste_Destino,Distancia,Lat_Poste_Origem,Lon_Poste_Origem,Lat_Poste_Destino,Lon_Poste_Destino
15-01238    ,15-08501    ,5.391754527726656,-3.7451028703686586,-38.534892852303464,-3.7450546659795974,-38.53488543285527
08-02580    ,08-07812    ,5.4403728043214095,-3.743448403501847,-38.53689970927015,-3.743412234589609,-38.53693293619996
08-02508    ,08-09565    ,5.65338421109606,-3.7375754591430304,-38.53373624059763,-3.7375625052626407,-38.533686989283254
08-07820    ,08-07822    ,5.656854249492381,-3.7432492573944094,-38.53667298688458,-3.743213089983278,-38.53670902804393
08-07827    ,08-07834    ,5.706356105256663,-3.743430281896378,-38.53684624839391,-3.7433850618815527,-38.53687103738611
08-02567    ,08-10443    ,5.720175646390567,-3.7424955755321148,-38.53828336486163,-3.742448603036378,-38.538261750064045
08-02265    ,08-02628    ,5.886577954244815,-3.740920725512411,-38.5356134895152,-3.7409654367539877,-38.5355846924616
08-07825    ,08-07826    ,5.905443281607532,-3.7433904052416387,-38.53674557029806,-3.7433397532327612,-38.53672866109776
15-05700    ,15-05744    ,5.929600007589045,-3.753270426120469,-38.54915685922635,-3.7533156741858695,-38.549185541556
15-05312    ,15-05315    ,5.974228506677662,-3.746841528104878,-38.53810354746552,-3.746877693473928,-38.538063566250635
08-02575    ,08-07824    ,6.000325512003495,-3.7430682719806105,-38.536573458253436,-3.74312255205082,-38.53657399256761
08-02582    ,08-07806    ,6.032464256006827,-3.7436927448272543,-38.53705492652797,-3.743747027584853,-38.53706052648444
08-07829    ,08-07830    ,6.096531043237925,-3.74347558665024,-38.536981307704714,-3.7435096429671346,-38.53702449300115
08-07828    ,08-07834    ,6.16979790998052,-3.74333078897078,-38.536884011360726,-3.7433850618815527,-38.53687103738611
08-02580    ,08-07827    ,6.26529378800388,-3.743448403501847,-38.53689970927015,-3.743430281896378,-38.53684624839391
08-00787    ,08-02553    ,6.324555320336759,-3.743539112259914,-38.53735725571087,-3.7435572341342533,-38.537411279454055
08-06497    ,08-10451    ,6.338818264456573,-3.7439205229949524,-38.54010712466613,-3.74397784156518,-38.54010539271103
15-05334    ,15-05335    ,6.358520538061554,-3.746055673882642,-38.538136975765426,-3.7460183252840444,-38.53818052646332
08-06465    ,08-06481    ,6.452954749570154,-3.7414967875843432,-38.5415594041498,-3.741505804104891,-38.541501989231385
08-10225    ,08-10282    ,6.48107097335563,-3.738936139777778,-38.53903514878769,-3.738977703621896,-38.53907631462427
08-07847    ,08-07854    ,6.485560885536423,-3.7430054683890854,-38.53756016033236,-3.7429783010895292,-38.53750839274648
08-00447    ,08-00449    ,6.562833626758255,-3.7375073100558733,-38.534057331714685,-3.737494179840721,-38.533999693690205
08-02575    ,08-07817    ,6.600189391222043,-3.7430682719806105,-38.536573458253436,-3.7430139790721215,-38.53654872156843
08-02557    ,08-02568    ,6.700046641628698,-3.742662172316663,-38.53846033093591,-3.7426259602222767,-38.53841194514477
08-07832    ,08-07833    ,7.071067811865476,-3.7435388262229563,-38.53681748620285,-3.743547906274841,-38.53688052022264
08-07259    ,08-07260    ,7.0801769928441765,-3.7404299321505325,-38.54279652855476,-3.7403666006869507,-38.54278699301232
08-02585    ,08-07810    ,7.146076283527905,-3.7435571175656164,-38.537191206577724,-3.7434937843018408,-38.53717829436199
15-05334    ,15-07407    ,7.163856506421275,-3.746055673882642,-38.538136975765426,-3.7461007015616192,-38.538090575277614
08-09471    ,15-05378    ,7.169002095815355,-3.745475427126467,-38.54297591288431,-3.7454237503984515,-38.54293690235148
08-00880    ,08-03141    ,7.25,-3.737950711884875,-38.54195354807457,-3.7379054539471306,-38.54190629273103
08-00227    ,08-05171    ,7.50797164424995,-3.7380723886012586,-38.5349734764407,-3.738064671344929,-38.53504065150447
08-00862    ,08-10504    ,7.630739597705283,-3.7382947886169133,-38.54253534964651,-3.7382762414319424,-38.54260154154058
08-04981    ,08-07252    ,7.882932512713781,-3.7414883000401558,-38.542626563523655,-3.7414702426972957,-38.542695240035535
08-04934    ,08-05226    ,7.9300573199286095,-3.73719051362005,-38.537122502404735,-3.7372296991278833,-38.537062682792836
08-00452    ,08-00454    ,8.024376922852017,-3.7386971552381802,-38.5335752379112,-3.738624785234263,-38.53358090458197
08-07831    ,08-07835    ,8.054744331758767,-3.7436293563705045,-38.53693788776484,-3.7437017338777556,-38.536946292441066
08-02585    ,08-07807    ,8.125,-3.7435571175656164,-38.537191206577724,-3.7436204242883604,-38.53715402547745
08-08997    ,08-09897    ,8.186364323432429,-3.7434494555056976,-38.537656083211466,-3.743490071324207,-38.53771773006035
08-03166    ,08-10781    ,8.2624024499157,-3.7434205036687853,-38.53546840601021,-3.743457574926351,-38.53553301742729
08-02504    ,08-10808    ,8.329717883566202,-3.737434123402884,-38.53383762052492,-3.7375087275348853,-38.53384818958858
08-07852    ,08-08780    ,8.388568281847295,-3.7428606838774967,-38.53748762914291,-3.7428068031546844,-38.537540826985065
15-05710    ,15-05711    ,8.424527063877235,-3.75468960318377,-38.546948053778664,-3.754752951617408,-38.54699023519703
08-00766    ,08-01194    ,8.479985627935934,-3.7440391291425295,-38.542010048461094,-3.744111515506255,-38.542035338968404
08-08780    ,08-08781    ,8.55205656857103,-3.7428068031546844,-38.537540826985065,-3.742761232020586,-38.53760306472109
08-00090    ,08-00092    ,8.618883700920902,-3.7395395599542116,-38.535582455864585,-3.739593810127657,-38.53552670578622
08-10323    ,08-10324    ,8.776060585080408,-3.737296758683824,-38.54224971839189,-3.737374723861146,-38.54223479280793
15-05311    ,15-05315    ,8.788724551859286,-3.7469330256177056,-38.53812040295011,-3.746877693473928,-38.538063566250635
08-07812    ,08-07829    ,8.825566554051926,-3.743412234589609,-38.53693293619996,-3.74347558665024,-38.536981307704714
08-01249    ,08-01250    ,8.908850776523597,-3.7337965743435455,-38.53266823517213,-3.7337662987638187,-38.532742587456006
08-05236    ,08-05238    ,8.919746260667749,-3.7361754988804408,-38.5380117614347,-3.73610563484496,-38.5380519569558
08-02577    ,08-07826    ,9.001952913118354,-3.7432583326784505,-38.53672701534536,-3.7433397532327612,-38.53672866109776
08-00096    ,08-02520    ,9.0296819573006,-3.740154497953509,-38.53514423953783,-3.7402268509216645,-38.5351064908645
08-02530    ,08-10760    ,9.03795124135536,-3.7413036553820707,-38.53558715571209,-3.7413626365991255,-38.53553078794095
08-07849    ,08-07857    ,9.070039966835868,-3.743177487496346,-38.53781166234498,-3.7430960731843403,-38.5378218362563
08-07813    ,08-07828    ,9.112362824756266,-3.743294641539266,-38.536957763200554,-3.74333078897078,-38.536884011360726
08-07849    ,08-07856    ,9.11750548395777,-3.743177487496346,-38.53781166234498,-3.743186490945892,-38.53773004492768
08-00101    ,08-05192    ,9.170477427593395,-3.7386981921548252,-38.535523800065505,-3.7386529957738803,-38.53559305355196
08-03157    ,08-10790    ,9.216453700301228,-3.741476689735661,-38.53775345504709,-3.7414680124349387,-38.53783600330402
08-07808    ,08-07810    ,9.275513799784894,-3.743538980169584,-38.53710791483809,-3.7434937843018408,-38.53717829436199
08-02576    ,08-07820    ,9.303897032964198,-3.743258259839587,-38.53658968092408,-3.7432492573944094,-38.53667298688458
08-09475    ,15-05376    ,9.421840181467577,-3.7461116642971324,-38.54229509726929,-3.7460295270329507,-38.54227242698745
08-04070    ,08-04927    ,9.445120002753209,-3.7360297698984537,-38.53623877413577,-3.7360980991893316,-38.53618770249133
08-02554    ,08-09897    ,9.519254450457176,-3.7434217244730825,-38.537769883670684,-3.743490071324207,-38.53771773006035
08-01227    ,08-10759    ,9.627158758470802,-3.738508971524669,-38.53695464674741,-3.7384352840256896,-38.53700086194878
08-07856    ,08-07970    ,9.656603957913983,-3.743186490945892,-38.53773004492768,-3.743267893937416,-38.53769848285497
08-06488    ,08-06489    ,9.67781774213588,-3.7428619839566806,-38.539950079954565,-3.742825755633673,-38.53987073755383
08-02529    ,08-02628    ,9.728485025371327,-3.741032224850523,-38.5355276370856,-3.7409654367539877,-38.5355846924616
08-01381    ,08-07048    ,9.786709047329488,-3.7347304738530105,-38.53517982899284,-3.73481500069853,-38.5351536056838
08-00937    ,08-02530    ,9.80772176654701,-3.7412584626120142,-38.53566316355256,-3.7413036553820707,-38.53558715571209
08-07808    ,08-07830    ,9.814617771904963,-3.743538980169584,-38.53710791483809,-3.7435096429671346,-38.53702449300115
08-01206    ,08-09926    ,9.871793231272308,-3.741875959608834,-38.54006203778775,-3.741807144529132,-38.54011870133511
08-04923    ,08-10344    ,9.88754374239738,-3.7353689782100816,-38.53542255124499,-3.7354193255803514,-38.53549614888146
08-09479    ,15-05436    ,9.900207935993706,-3.746678906845404,-38.54172667019722,-3.746762035721675,-38.54175985393517
08-02564    ,08-10445    ,9.911750935615885,-3.7417838802000887,-38.53763940568257,-3.741781493857445,-38.53772863457139
08-09476    ,15-05370    ,9.962744521491992,-3.7462483056779896,-38.54215892950706,-3.7461651489297982,-38.542124327379454
08-07256    ,08-07257    ,10.007028779812718,-3.7407013165441603,-38.54276824566497,-3.7406108519401817,-38.54277166962025
08-07257    ,08-07258    ,10.063082281289368,-3.7406108519401817,-38.54277166962025,-3.7405203908682596,-38.542781847710415
08-02576    ,08-07819    ,10.077822185373186,-3.743258259839587,-38.53658968092408,-3.743212984894559,-38.53651090626739
08-00047    ,08-07857    ,10.081697525714606,-3.743123258925645,-38.53790850031267,-3.7430960731843403,-38.5378218362563
08-07847    ,08-07851    ,10.11882527766934,-3.7430054683890854,-38.53756016033236,-3.7430868660105827,-38.53751846702619
08-07258    ,08-07259    ,10.131170958976066,-3.7405203908682596,-38.542781847710415,-3.7404299321505325,-38.54279652855476
08-01187    ,08-10409    ,10.16105730848869,-3.745269995586525,-38.543009589492414,-3.7453618658323022,-38.543012700997124
08-02551    ,08-07806    ,10.17656621852381,-3.743828469916891,-38.53710326004929,-3.743747027584853,-38.53706052648444
08-06499    ,08-10450    ,10.24742045578977,-3.7439112477686294,-38.53967317460871,-3.7438728528800898,-38.53975717139951
08-00896    ,08-03146    ,10.347289802165587,-3.7388908639434737,-38.54062193483299,-3.738963268059544,-38.54068099573963
08-00882    ,08-03393    ,10.356014253822323,-3.7375130637347396,-38.54104070081389,-3.737606653434328,-38.541044952285375
08-03156    ,08-10788    ,10.430411652487154,-3.7411873686487866,-38.53807724249834,-3.7412048050577433,-38.538169556149306
08-00781    ,08-07899    ,10.46721070772916,-3.7422363713648616,-38.53730840888115,-3.74230871221375,-38.537247583600866
15-05361    ,15-05363    ,10.515056169607464,-3.7456304948632564,-38.54040679308759,-3.745549049388012,-38.54035786780542
08-01204    ,08-06485    ,10.790801928031112,-3.7423465796927564,-38.540432707750384,-3.742391858148042,-38.54051879957471
